NAME,SEEDS,LEECHES,TIME,SIZE,UPLOADER
The Sword in the Stone (1963) (2160p WEBRip NVENC HEVC 10bit AAC 5.1 Joy) [UTR]1,7,3,Jan. 28th '20,2.9 GB7,UTRCorp
Avenue 5 S01E02 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],13,0,Jan. 28th '20,284.2 MB13,UTRCorp
Playing with Fire (2019) (1080p BluRay x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,21,6,Jan. 27th '20,1.2 GB21,UTRCorp
 The Good Place S04E12 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]1,13,0,Jan. 26th '20,336.0 MB13,UTRCorp
Troop Zero (2020) (1080p AMZN WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,15,1,Jan. 26th '20,1.2 GB15,UTRCorp
Troop Zero (2020) (1080p AMZN WEBRip x265 HEVC 10bit AAC Q22 5.1 Joy) [UTR],8,2,Jan. 26th '20,1.9 GB8,UTRCorp
Playing with Fire (2019) (1080p BluRay x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],7,1,Jan. 25th '20,2.0 GB7,UTRCorp
Peaky Blinders (2013) Season 05 S05 (2160p NF WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR]6,3,11,Jan. 25th '20,10.4 GB3,UTRCorp
 68 Whiskey S01E02 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],4,2,Jan. 25th '20,426.5 MB4,UTRCorp
Harley Quinn S01E09 (1080p DCU WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],21,0,Jan. 25th '20,226.5 MB21,UTRCorp
Harley Quinn S01E09 (2160p WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],5,0,Jan. 25th '20,697.0 MB5,UTRCorp
Chicago Fire S08E12 Then Nick Porter Happened [1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [...,4,1,Jan. 24th '20,440.5 MB4,UTRCorp
Chicago Med S05E12 Leave the Choice to Solomon (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) ...,3,0,Jan. 24th '20,431.7 MB3,UTRCorp
Chicago P.D. S07E12 The Devil You Know [1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],1,0,Jan. 24th '20,360.1 MB1,UTRCorp
Stumptown S01E12 Dirty Dexy Money (1080p AMZN WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR],2,1,Jan. 24th '20,421.6 MB2,UTRCorp
Vikings S06E08 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]4,24,2,Jan. 24th '20,453.7 MB24,UTRCorp
Star Trek Picard S01E01 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]3,30,2,Jan. 24th '20,457.8 MB30,UTRCorp
Modern Family S11E12 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],17,3,Jan. 24th '20,212.6 MB17,UTRCorp
Terminator Dark Fate (2019) (1080p BluRay x265 HEVC 10bit AAC 7.1 Joy) [UTR]2,21,1,Jan. 23rd '20,1.7 GB21,UTRCorp
Terminator Dark Fate (2019) (1080p BluRay x265 HEVC 10bit AAC 7.1 Q22 Joy) [UTR],26,3,Jan. 23rd '20,2.3 GB26,UTRCorp
FBI S01E13 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],5,1,Jan. 23rd '20,419.9 MB5,UTRCorp
Sex Education (2019) Season 02 S02 (1080p NF WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]7,41,31,Jan. 23rd '20,4.0 GB41,UTRCorp
Troop Zero (2019) (2160p WEBRip NVENC HEVC 10bit AAC 5.1 Joy) [UTR],16,3,Jan. 23rd '20,3.5 GB16,UTRCorp
Avenue 5 S01E01 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]4,14,1,Jan. 21st '20,279.1 MB14,UTRCorp
The Good Place S04E11 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR]1,16,3,Jan. 20th '20,224.6 MB16,UTRCorp
Harley Quinn S01E08 (2160p DCU WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]4,5,2,Jan. 19th '20,698.9 MB5,UTRCorp
Terminator Dark Fate (2019) (2160p AMZN WEBRip x265 HEVC 10bit AAC 5.1 Joy) [UTR]1,29,2,Jan. 19th '20,5.7 GB29,UTRCorp
Harley Quinn S01E08 (1080p DCU WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]2,9,1,Jan. 18th '20,227.9 MB9,UTRCorp
Chicago P.D. S07E11 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],8,3,Jan. 18th '20,424.0 MB8,UTRCorp
Chicago Med S05E11 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],6,1,Jan. 18th '20,387.3 MB6,UTRCorp
Chicago Fire S08E11 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],5,0,Jan. 18th '20,508.5 MB5,UTRCorp
Young Sheldon S03E12 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR],23,0,Jan. 18th '20,184.1 MB23,UTRCorp
Evil S01E12 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Q22 Joy) [UTR],6,3,Jan. 18th '20,325.9 MB6,UTRCorp
Harry Potter and the Chamber of Secrets (2002) Theatrical Cut (1080p Bluray x265 HEVC 10bit AAC 7.1 ...1,7,4,Jan. 18th '20,3.3 GB7,UTRCorp
Vikings S06E07 (1080p AMZN WEB-DL x265 HEVC 10bit AAC 5.1 Joy) [UTR]2,24,2,Jan. 17th '20,441.9 MB24,UTRCorp
Harry Potter and the Chamber of Secrets (2002) Theatrical Cut (1080p Bluray x265 HEVC 10bit AAC 7.1 ...4,10,3,Jan. 17th '20,2.2 GB10,UTRCorp
